"default","bmaxrate","amount","close","AA","A","B","C","D","bankcardutil"
0,0.29,3500,1,0,0,0,0,0,0.95
0,0.23,3250,0,0,0,0,0,1,0.93
0,0.2,5000,0,0,0,0,1,0,0.97
0,0.21,5000,0,0,0,0,0,1,0.73
0,0.24,6500,0,0,0,0,1,0,0.98
0,0.21,25000,0,0,1,0,0,0,0.07
0,0.07,2000,1,0,0,0,0,0,0.81
0,0.09,4000,0,0,1,0,0,0,0.32
1,0.29,25000,1,0,0,0,0,1,0.97
0,0.16,8200,0,0,0,0,1,0,0.87
0,0.29,4850,0,0,0,0,0,0,0.89
0,0.15,5500,1,0,0,0,1,0,0
1,0.29,4000,0,0,0,0,0,0,1.07
0,0.1,3000,0,1,0,0,0,0,0.07
0,0.29,2550,1,0,0,0,0,0,1.26
0,0.23,10000,1,0,0,0,0,1,0
0,0.2,4000,0,0,0,0,0,1,0.48
0,0.09,1500,0,0,1,0,0,0,0.29
1,0.24,3000,0,0,0,0,0,0,0
0,0.15,7000,0,0,0,0,1,0,0.95
0,0.11,1000,0,1,0,0,0,0,0.01
1,0.19,3000,1,0,0,0,0,1,0.77
0,0.21,1500,0,0,0,0,1,0,0.01
0,0.1,2000,0,0,1,0,0,0,0.29
0,0.2,4000,0,0,0,0,0,1,0
0,0.2,1500,0,0,0,0,0,1,0.53
0,0.2,5000,1,0,0,0,0,1,0.43
0,0.19,4041,0,0,0,0,0,1,0.91
1,0.29,3025,1,0,0,0,0,0,0
0,0.14,2000,0,0,0,0,1,0,0
0,0.15,3500,0,0,0,0,1,0,0.3
0,0.2,1000,1,0,0,0,1,0,0.76
0,0.29,2500,0,0,0,0,0,1,0.95
0,0.23,1000,1,0,0,0,0,0,0.93
0,0.1,3500,0,1,0,0,0,0,0.07
0,0.25,3000,0,0,0,0,0,1,0.73
1,0.29,2000,0,0,0,0,0,0,0.98
0,0.18,9900,0,0,0,0,1,0,0.55
0,0.21,2500,1,0,1,0,0,0,0.38
0,0.2,7500,1,0,0,0,0,1,0.52
0,0.27,7500,0,0,0,0,1,0,0.73
0,0.07,1000,1,1,0,0,0,0,0.34
0,0.13,2600,1,0,0,0,1,0,0.1
